sample_id	patch_file	cve	library	repo	carrier_kind	dependency_group	dependency_artifact	source_case	validated
CVE-2021-29425__apache__accumulo	patches/CVE-2021-29425__apache__accumulo.patch	CVE-2021-29425	apache-commons-io	apache/accumulo	apache_downstream	commons-io	commons-io	apache-commons-io/CVE-2021-29425	True
CVE-2020-8840__apache__ambari	patches/CVE-2020-8840__apache__ambari.patch	CVE-2020-8840	jackson	apache/ambari	apache_downstream	com.fasterxml.jackson.core	jackson-databind	jackson/CVE-2020-8840	True
CVE-2021-44228__apache__atlas	patches/CVE-2021-44228__apache__atlas.patch	CVE-2021-44228	log4j	apache/atlas	apache_downstream	org.apache.logging.log4j	log4j-core	log4j/CVE-2021-44228	True
CVE-2015-7501__apache__bookkeeper	patches/CVE-2015-7501__apache__bookkeeper.patch	CVE-2015-7501	apache-commons-collections	apache/bookkeeper	apache_downstream	org.apache.commons	commons-collections4	apache-commons-collections/CVE-2015-7501	True
CVE-2014-0114__apache__brooklyn-server	patches/CVE-2014-0114__apache__brooklyn-server.patch	CVE-2014-0114	apache-commons-beanutils	apache/brooklyn-server	apache_downstream	commons-beanutils	commons-beanutils	apache-commons-beanutils/CVE-2014-0114	True
CVE-2023-26049__apache__beam	patches/CVE-2023-26049__apache__beam.patch	CVE-2023-26049	jetty	apache/beam	apache_downstream	org.eclipse.jetty	jetty-server	jetty/CVE-2023-26049	True
CVE-2018-1000632__apache__cxf	patches/CVE-2018-1000632__apache__cxf.patch	CVE-2018-1000632	dom4j	apache/cxf	apache_downstream	dom4j	dom4j	dom4j/CVE-2018-1000632	True
CVE-2020-13933__apache__geode	patches/CVE-2020-13933__apache__geode.patch	CVE-2020-13933	apache-shiro	apache/geode	apache_downstream	org.apache.shiro	shiro-core	apache-shiro/CVE-2020-13933	True
CVE-2016-1000031__apache__jackrabbit	patches/CVE-2016-1000031__apache__jackrabbit.patch	CVE-2016-1000031	apache-commons-fileupload	apache/jackrabbit	apache_downstream	commons-fileupload	commons-fileupload	apache-commons-fileupload/CVE-2016-1000031	True
CVE-2026-42584__apache__camel	patches/CVE-2026-42584__apache__camel.patch	CVE-2026-42584	netty	apache/camel	apache_downstream	io.netty	netty-codec-http	netty/CVE-2026-42584	True
CVE-2021-23926__apache__kylin	patches/CVE-2021-23926__apache__kylin.patch	CVE-2021-23926	apache-xmlbeans	apache/kylin	apache_downstream	org.apache.xmlbeans	xmlbeans	apache-xmlbeans/CVE-2021-23926	True
CVE-2021-29425__apache__calcite	patches/CVE-2021-29425__apache__calcite.patch	CVE-2021-29425	apache-commons-io	apache/calcite	apache_downstream	commons-io	commons-io	apache-commons-io/CVE-2021-29425	True
CVE-2020-8840__apache__druid	patches/CVE-2020-8840__apache__druid.patch	CVE-2020-8840	jackson	apache/druid	apache_downstream	com.fasterxml.jackson.core	jackson-databind	jackson/CVE-2020-8840	True
CVE-2021-44228__apache__dubbo	patches/CVE-2021-44228__apache__dubbo.patch	CVE-2021-44228	log4j	apache/dubbo	apache_downstream	org.apache.logging.log4j	log4j-core	log4j/CVE-2021-44228	True
CVE-2015-7501__apache__gobblin	patches/CVE-2015-7501__apache__gobblin.patch	CVE-2015-7501	apache-commons-collections	apache/gobblin	apache_downstream	org.apache.commons	commons-collections4	apache-commons-collections/CVE-2015-7501	True
