sample_id	status	downstream_repo	downstream_entrypoint	upstream_library	vulnerable_version	manifest
CVE-2020-13933__apache_jena__fuseki_v1_shiro_real_entrypoint	FAILED	apache/jena	fuseki-server real HTTP management endpoints	apache-shiro	1.5.3	samples/CVE-2020-13933__apache_jena__fuseki_v1_shiro_real_entrypoint/manifest.json
CVE-2021-44228__apache_archiva_2_2_6_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/archiva	Archiva real Jetty webapp REST JavaScript logger endpoint	log4j	2.14.1	samples/CVE-2021-44228__apache_archiva_2_2_6_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_druid_0_17_0_v1_log4j_real_entrypoint	FAILED	apache/druid	bin/run-druid broker real startup logging	log4j	2.14.1	samples/CVE-2021-44228__apache_druid_0_17_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_flink_1_14_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/flink	bin/flink real CLI info action	log4j	2.14.1	samples/CVE-2021-44228__apache_flink_1_14_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_flume_1_9_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/flume	bin/flume-ng real CLI config loading	log4j	2.14.1	samples/CVE-2021-44228__apache_flume_1_9_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_geode_1_14_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/geode	bin/gfsh real locator startup	log4j	2.14.1	samples/CVE-2021-44228__apache_geode_1_14_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_ignite_2_11_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/ignite	bin/ignite.sh real startup with Ignite XML configuration	log4j	2.14.1	samples/CVE-2021-44228__apache_ignite_2_11_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_james_3_6_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/james-project	bin/run.sh real SMTP service	log4j	2.14.1	samples/CVE-2021-44228__apache_james_3_6_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_jmeter_5_4_1_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/jmeter	bin/jmeter real CLI property loading	log4j	2.14.1	samples/CVE-2021-44228__apache_jmeter_5_4_1_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_maven_3_8_3_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/maven	bin/mvn real CLI POM validation	log4j	2.14.1	samples/CVE-2021-44228__apache_maven_3_8_3_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_pulsar_2_8_1_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/pulsar	bin/pulsar-client real CLI	log4j	2.14.1	samples/CVE-2021-44228__apache_pulsar_2_8_1_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_skywalking_8_8_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/skywalking	OAP real /graphql HTTP endpoint	log4j	2.14.1	samples/CVE-2021-44228__apache_skywalking_8_8_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_solr_8_11_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/solr	bin/solr real HTTP admin endpoints	log4j	2.14.1	samples/CVE-2021-44228__apache_solr_8_11_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_storm_2_3_0_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/storm	bin/storm ui real HTTP access logging	log4j	2.14.1	samples/CVE-2021-44228__apache_storm_2_3_0_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_struts2_showcase_2_5_27_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/struts	Tomcat real HTTP form endpoint	log4j	2.14.1	samples/CVE-2021-44228__apache_struts2_showcase_2_5_27_v1_log4j_real_entrypoint/manifest.json
CVE-2021-44228__apache_syncope_client_cli_2_1_8_v1_log4j_real_entrypoint	TP_CONFIRMED_REAL_DOWNSTREAM_ENTRYPOINT	apache/syncope	syncopeadm.sh real CLI	log4j	2.14.1	samples/CVE-2021-44228__apache_syncope_client_cli_2_1_8_v1_log4j_real_entrypoint/manifest.json
